"player_name","state","total_points","pre_rating","opponents_pre_rating"
"Gary Hua","ON",6,1794,1647.6
"Dakshesh Daruri","MI",6,1553,1561.33333333333
"Aditya Bajaj","MI",6,1384,1696.5
"Patrick H Schilling","MI",5.5,1716,1573.57142857143
"Hanshi Zuo","MI",5.5,1655,1587.66666666667
"Hansen Song","OH",5,1686,1493.2
"Gary Dee Swathell","MI",5,1649,1538
"Ezekiel Houghton","MI",5,\N,1468.42857142857
"Stefano Lee","ON",5,1411,1633.6
"Anvit Rao","MI",5,1365,1554.14285714286
"Cameron William Mc Leman","MI",4.5,1712,1467.57142857143
"Kenneth J Tack","MI",4.5,1663,1506.16666666667
"Torrance Henry Jr","MI",4.5,1666,1497.85714285714
"Bradley Shaw","MI",4.5,1610,1494
"Zachary James Houghton","MI",4.5,\N,1483.85714285714
"Mike Nikitin","MI",4,1604,1424.33333333333
"Ronald Grzegorczyk","MI",4,1629,1514.5
"David Sundeen","MI",4,1600,1480
"Dipankar Roy","MI",4,1564,1547
"Jason Zheng","MI",4,1595,1436.4
"Dinh Dang Bui","ON",4,\N,1476.16666666667
"Eugene L Mcclure","MI",4,1555,1411.75
"Alan Bui","ON",4,1363,1555.75
"Michael R Aldrich","MI",4,1229,1419.2
"Loren Schwiebert","MI",3.5,1745,1363.28571428571
"Max Zhu","ON",3.5,1579,1542.83333333333
"Gaurav Gidwani","MI",3.5,1552,1493.25
"Sofia Adina Stanescu-Bellu","MI",3.5,1507,1502.33333333333
"Chiedozie Okorie","MI",3.5,\N,1389.2
"George Avery Jones","ON",3.5,1522,1224.75
"Rishi Shetty","MI",3.5,1494,1317
"Joshua Philip Mathews","ON",3.5,1441,1411
"Jade Ge","MI",3.5,1449,1350.2
"Michael Jeffery Thomas","MI",3.5,1399,1714.33333333333
"Joshua David Lee","MI",3.5,1438,1347.2
"Siddharth Jha","MI",3.5,1355,1388.16666666667
"Amiyatosh Pwnanandam","MI",3.5,\N,1492.25
"Brian Liu","MI",3,1423,1603.25
"Joel R Hendon","MI",3,\N,1407.33333333333
"Forest Zhang","MI",3,1348,1470.5
"Kyle William Murphy","MI",3,\N,1612
"Jared Ge","MI",3,1332,1225.4
"Robert Glen Vasey","MI",3,1283,1238.25
"Justin D Schilling","MI",3,1199,1418.25
"Derek Yan","MI",3,1242,1236
"Jacob Alexander Lavalley","MI",3,\N,1357.71428571429
"Eric Wright","MI",2.5,1362,1396.25
"Daniel Khain","MI",2.5,1382,1414
"Michael J Martin","MI",2.5,\N,1378
"Shivam Jha","MI",2.5,1056,1449.25
"Tejas Ayyagari","MI",2.5,1011,1356.14285714286
"Ethan Guo","MI",2.5,\N,1476.66666666667
"Jose C Ybarra","MI",2,1393,1345.33333333333
"Larry Hodge","MI",2,1270,1386.5
"Alex Kong","MI",2,1186,1406
"Marisa Ricci","MI",2,1153,1414.4
"Michael Lu","MI",2,1092,1363
"Viraj Mohile","MI",2,\N,1413
"Sean M Mc Cormick","MI",2,\N,1302.2
"Julia Shen","MI",1.5,\N,1330.2
"Jezzel Farkas","ON",1.5,\N,1385.16666666667
"Ashwin Balaji","MI",1,1530,1186
"Thomas Joseph Hosmer","MI",1,1175,1365
"Ben Li","MI",1,1163,1434.6
